order1_pickup_latitude,order1_pickup_longitude,order2_pickup_latitude,order2_pickup_longitude,order3_pickup_latitude,order3_pickup_longitude,trip_start_timestamp,order1_fare,order1_tips,order2_fare,order2_tips,order3_fare,order3_tips,best
175.0,675.0,660.0,120.0,130.0,532.0,2016-02-01 08:00:00,10.4545,0.3636,17.7727,0.9182,12.1136,0.4545,order2
686.0,500.0,37.0,370.0,688.0,206.0,2016-02-01 08:00:00,8.6136,0.6364,14.0682,1.3136,18.5227,1.1,order3
173.0,203.0,779.0,81.0,744.0,605.0,2016-02-01 08:00:00,13.3864,1.0409,17.9545,0.8136,7.7273,0.8182,order2
660.0,120.0,419.0,615.0,175.0,675.0,2016-02-01 08:00:00,17.5909,1.1,13.7955,0.8455,10.7273,0.6545,order1
167.0,754.0,395.0,408.0,744.0,605.0,2016-02-01 08:00:00,17.7727,0.0909,13.7273,0.6545,7.7955,0.7273,order1
660.0,120.0,173.0,203.0,173.0,203.0,2016-02-01 08:00:00,20.0,0.8136,23.9091,2.6627,18.6591,2.2818,order2
556.0,288.0,175.0,675.0,618.0,407.0,2016-02-01 08:00:00,17.0,0.1818,17.7391,0.4545,17.0909,1.1,order2
64.0,231.0,109.0,708.0,754.0,410.0,2016-02-01 08:00:00,11.0682,0.9545,11.1709,0.1818,14.48,0.8182,order3
173.0,203.0,18.0,610.0,18.0,610.0,2016-02-01 08:00:00,21.1136,2.2227,15.9091,0.1818,10.5227,0.4727,order1
767.0,733.0,166.0,725.0,225.0,6.0,2016-02-01 08:00:00,8.5227,0.0,16.6255,0.3636,19.0909,2.5082,order3
411.0,545.0,294.0,113.0,411.0,545.0,2016-02-01 08:00:00,10.9773,0.2909,18.3636,2.0864,12.3182,0.5636,order2
599.0,346.0,18.0,610.0,95.0,781.0,2016-02-01 08:00:00,12.3864,1.1,14.1027,0.1818,10.7045,0.1818,order2
395.0,408.0,695.0,366.0,167.0,754.0,2016-02-01 08:00:00,14.0227,0.4727,19.8864,0.8136,11.2045,0.3636,order2
686.0,500.0,225.0,6.0,294.0,113.0,2016-02-01 08:00:00,8.2727,0.5455,16.6818,1.9718,21.0227,1.9864,order3
686.0,500.0,454.0,453.0,686.0,500.0,2016-02-01 08:00:00,7.7955,0.6364,36.4091,3.2436,11.3409,0.4545,order2
599.0,346.0,744.0,605.0,686.0,500.0,2016-02-01 08:00:00,15.2727,0.4682,7.7955,0.2727,10.5,0.5455,order1
225.0,6.0,18.0,610.0,599.0,346.0,2016-02-01 08:00:00,16.5909,1.3636,14.4664,0.3636,19.2955,0.9182,order3
225.0,6.0,744.0,605.0,395.0,408.0,2016-02-01 08:00:00,22.1136,2.5445,7.7955,0.5455,16.2045,0.3818,order1
411.0,545.0,411.0,545.0,599.0,346.0,2016-02-01 08:00:00,15.6027,0.3636,13.3182,0.3818,16.0,0.6318,order3
167.0,754.0,684.0,503.0,688.0,206.0,2016-02-01 08:00:00,16.4091,0.0909,7.6591,0.6364,20.5909,0.8136,order3
109.0,708.0,218.0,437.0,660.0,120.0,2016-02-01 08:00:00,12.7273,0.5455,17.4318,0.1818,15.9091,0.4682,order2
